query_type,case_id,query,predicted,expected,exact_match,missing,extra,error
2p,103,"(4192, (474, 197))",[503],[503],True,[],[],
2p,104,"(1687, (161, 1110))","[8269, 53196, 61276]","[8269, 53196, 61276]",True,[],[],
2p,105,"(12290, (2292, 493))","[19101, 47733, 60249]","[19101, 47733, 60249]",True,[],[],
2p,106,"(3831, (719, 1921))",[64705],[64705],True,[],[],
2p,107,"(427, (2292, 151))","[11778, 14208]","[11778, 14208]",True,[],[],
2p,108,"(3262, (202, 232))",[22836],[22836],True,[],[],
2p,109,"(710, (28, 2801))",[68344],[68344],True,[],[],
2p,110,"(12770, (202, 288))","[9411, 37131, 47817, 61284]","[9411, 37131, 47817, 61284]",True,[],[],
2p,111,"(9391, (2292, 4))","[42448, 46272, 61923]","[42448, 46272, 61923]",True,[],[],
2p,112,"(7239, (226, 1058))",[42046],[42046],True,[],[],
2p,113,"(2886, (202, 2459))",[53388],[53388],True,[],[],
2p,114,"(4770, (2200, 790))","[4891, 6693, 44417, 52561, 77199]","[4891, 6693, 44417, 52561, 77199]",True,[],[],
2p,115,"(5228, (139, 8084))","[64047, 78572]","[64047, 78572]",True,[],[],
2p,116,"(838, (475, 161))","[2056, 24804, 42736, 53974, 54964, 57173, 78878]","[2056, 24804, 42736, 53974, 54964, 57173, 78878]",True,[],[],
2p,117,"(1524, (202, 971))",[24543],[24543],True,[],[],
2p,118,"(3965, (3, 345))",[1054],[1054],True,[],[],
2p,119,"(36522, (183, 153))","[12075, 33210, 39187, 41341, 51274, 52210, 59191]","[12075, 33210, 39187, 41341, 51274, 52210, 59191]",True,[],[],
2p,120,"(1972, (226, 818))","[15147, 42034, 69827]","[15147, 42034, 69827]",True,[],[],
2p,121,"(9183, (88, 533))","[5057, 19279, 30043]","[5057, 19279, 30043]",True,[],[],
2p,122,"(46496, (35, 34))","[4735, 21548, 23411, 24310, 27793, 35477, 47866, 58601, 62288, 64762, 65207, 70811, 76136, 76538]","[4735, 21548, 23411, 24310, 27793, 35477, 47866, 58601, 62288, 64762, 65207, 70811, 76136, 76538]",True,[],[],
2p,123,"(1544, (116, 857))",[44400],[44400],True,[],[],
2p,124,"(3818, (474, 1383))","[6694, 24512, 24839, 27206, 27279, 49741, 69198, 76330]","[6694, 24512, 24839, 27206, 27279, 49741, 69198, 76330]",True,[],[],
2p,125,"(4469, (226, 263))","[47207, 79600, 81064, 83292]","[47207, 79600, 81064, 83292]",True,[],[],
2p,126,"(22951, (35, 58))","[40663, 76098]","[40663, 76098]",True,[],[],
2p,127,"(382, (5260, 511))","[31115, 55554]","[31115, 55554]",True,[],[],
2p,128,"(2523, (14, 6))",[40877],[40877],True,[],[],
2p,129,"(1326, (7633, 441))","[8472, 20304, 24913, 41311, 44380]","[8472, 20304, 24913, 41311, 44380]",True,[],[],
2p,130,"(6888, (1395, 1102))",[22563],[22563],True,[],[],
2p,131,"(31322, (419, 3))","[8768, 71475]","[8768, 71475]",True,[],[],
2p,132,"(8056, (1057, 53))","[2029, 5349, 20923, 23793, 24524, 50723]","[2029, 5349, 20923, 23793, 24524, 50723]",True,[],[],
2p,133,"(17726, (3, 858))","[32093, 48890, 62876, 74465]","[32093, 48890, 62876, 74465]",True,[],[],
2p,134,"(1754, (2367, 284))","[12465, 35671, 81344]","[12465, 35671, 81344]",True,[],[],
2p,135,"(9227, (35, 3768))","[22588, 27515, 64666]","[22588, 27515, 64666]",True,[],[],
2p,136,"(15079, (45, 252))","[731, 5497, 37664, 38194]","[731, 5497, 37664, 38194]",True,[],[],
2p,137,"(9848, (45, 4159))","[2800, 4008, 4098, 4352, 5650, 8900, 23388, 26470, 63100]","[2800, 4008, 4098, 4352, 5650, 8900, 23388, 26470, 63100]",True,[],[],
2p,138,"(4032, (211, 2744))",[15113],[15113],True,[],[],
2p,139,"(1924, (3252, 1110))","[21519, 28811, 40507, 42468, 53237, 65583, 80040]","[21519, 28811, 40507, 42468, 53237, 65583, 80040]",True,[],[],
2p,140,"(6206, (45, 1286))",[66854],[66854],True,[],[],
2p,141,"(3751, (473, 105))","[28662, 42526, 50534]","[28662, 42526, 50534]",True,[],[],
2p,142,"(9669, (669, 178))",[15929],[15929],True,[],[],
2p,143,"(193, (3411, 349))","[26726, 29153, 37890, 42895, 49328, 71311, 81047]","[26726, 29153, 37890, 42895, 49328, 71311, 81047]",True,[],[],
2p,144,"(3965, (3, 397))","[22354, 28921, 34772, 35515, 40494, 52417, 63196, 80089, 82016]","[22354, 28921, 34772, 35515, 40494, 52417, 63196, 80089, 82016]",True,[],[],
2p,145,"(1906, (202, 1102))",[76092],[76092],True,[],[],
2p,146,"(1177, (4, 1963))",[68161],[68161],True,[],[],
2p,147,"(76, (1719, 158))","[2377, 6719, 7025, 7238, 8144, 14539, 18729]","[2377, 6719, 7025, 7238, 8144, 14539, 18729]",True,[],[],
2p,148,"(22554, (1861, 288))",[59772],[59772],True,[],[],
2p,149,"(8663, (162, 515))","[9877, 16748, 25541, 27309, 29674, 32750, 40642, 44839, 48002, 53183, 57580, 79631, 81694]","[9877, 16748, 25541, 27309, 29674, 32750, 40642, 44839, 48002, 53183, 57580, 79631, 81694]",True,[],[],
2p,150,"(4711, (680, 540))",[20850],[20850],True,[],[],
2i,1,"((6406, (306,)), (9147, (306,)))",[80743],[80743],True,[],[],
2i,2,"((12028, (62,)), (2429, (1879,)))",[6495],[6495],True,[],[],
2i,3,"((6443, (9,)), (18, (9,)))",[19],[19],True,[],[],
2i,4,"((3446, (170,)), (3849, (572,)))",[3850],[3850],True,[],[],
2i,5,"((930, (45,)), (8439, (45,)))",[6527],[6527],True,[],[],
2i,6,"((21737, (2636,)), (3761, (1778,)))",[17775],[17775],True,[],[],
2i,7,"((8721, (5905,)), (5098, (162,)))",[19539],[19539],True,[],[],
2i,8,"((1710, (34,)), (4354, (907,)))","[32604, 45394]","[32604, 45394]",True,[],[],
2i,9,"((2227, (496,)), (8920, (44,)))",[16949],[16949],True,[],[],
2i,10,"((10725, (1160,)), (12290, (2292,)))","[5197, 10726, 30186]","[5197, 10726, 30186]",True,[],[],
2i,11,"((6661, (4979,)), (11554, (3888,)))",[23342],[23342],True,[],[],
2i,12,"((635, (1420,)), (5795, (1111,)))",[11150],[11150],True,[],[],
2i,13,"((17020, (650,)), (12380, (1211,)))",[17021],[17021],True,[],[],
2i,14,"((599, (688,)), (42449, (3,)))",[20739],[20739],True,[],[],
2i,15,"((11816, (1046,)), (12484, (73,)))",[52172],[52172],True,[],[],
2i,16,"((1395, (7482,)), (1395, (1221,)))","[24566, 33481]","[24566, 33481]",True,[],[],
2i,17,"((43495, (121,)), (17920, (121,)))",[74352],[74352],True,[],[],
2i,18,"((6638, (95,)), (2582, (695,)))",[37138],[37138],True,[],[],
2i,19,"((6092, (137,)), (9200, (137,)))",[20773],[20773],True,[],[],
2i,20,"((5707, (25,)), (5911, (25,)))","[5912, 50336, 65473]","[5912, 50336, 65473]",True,[],[],
2i,21,"((8178, (76,)), (3755, (339,)))",[30748],[30748],True,[],[],
2i,22,"((3187, (1448,)), (3485, (501,)))",[7108],[7108],True,[],[],
2i,23,"((6452, (121,)), (4965, (384,)))",[10900],[10900],True,[],[],
2i,24,"((8289, (39,)), (6821, (39,)))",[9210],[9210],True,[],[],
2i,25,"((696, (255,)), (5738, (82,)))","[4989, 5739, 12830, 13620, 23993, 25616, 31627, 38790, 41559, 47072, 50128, 57310]","[4989, 5739, 12830, 13620, 23993, 25616, 31627, 38790, 41559, 47072, 50128, 57310]",True,[],[],
2i,26,"((4036, (950,)), (96, (1392,)))","[4037, 6737, 12404, 20853, 31172, 31901, 38185]","[4037, 6737, 12404, 20853, 31172, 31901, 38185]",True,[],[],
2i,27,"((13984, (110,)), (706, (21,)))",[22846],[22846],True,[],[],
2i,28,"((8240, (36,)), (9135, (36,)))",[20090],[20090],True,[],[],
2i,29,"((1839, (2,)), (10650, (2,)))",[11867],[11867],True,[],[],
2i,30,"((1358, (109,)), (10799, (181,)))",[6362],[6362],True,[],[],
2i,31,"((16740, (497,)), (4274, (497,)))",[10881],[10881],True,[],[],
2i,32,"((4738, (4321,)), (34, (5470,)))",[22169],[22169],True,[],[],
2i,33,"((4425, (232,)), (10992, (372,)))","[13851, 39171]","[13851, 39171]",True,[],[],
2i,34,"((1567, (759,)), (807, (759,)))","[2845, 2943, 5826, 16434, 18551, 28434, 52197, 66378]","[2845, 2943, 5826, 16434, 18551, 28434, 52197, 66378]",True,[],[],
2i,35,"((5821, (1286,)), (5162, (288,)))",[17238],[17238],True,[],[],
2i,36,"((13917, (3,)), (3405, (3,)))",[21300],[21300],True,[],[],
2i,37,"((22628, (3103,)), (17659, (3103,)))",[17660],[17660],True,[],[],
2i,38,"((2555, (318,)), (5706, (1892,)))",[27405],[27405],True,[],[],
2i,39,"((2835, (3910,)), (5866, (6,)))",[62885],[62885],True,[],[],
2i,40,"((10587, (104,)), (16698, (104,)))","[2958, 13041, 62508]","[2958, 13041, 62508]",True,[],[],
2i,41,"((1253, (136,)), (10108, (481,)))",[67387],[67387],True,[],[],
2i,42,"((2900, (1066,)), (1187, (7244,)))",[26548],[26548],True,[],[],
2i,43,"((1526, (183,)), (10449, (183,)))","[31491, 82647]","[31491, 82647]",True,[],[],
2i,44,"((10441, (2001,)), (10441, (3289,)))","[10442, 48677]","[10442, 48677]",True,[],[],
2i,45,"((4559, (907,)), (5337, (907,)))",[34125],[34125],True,[],[],
2i,46,"((327, (1402,)), (1839, (1047,)))",[20450],[20450],True,[],[],
2i,47,"((5587, (325,)), (24009, (325,)))",[31352],[31352],True,[],[],
2i,48,"((9155, (592,)), (12816, (592,)))","[9156, 13464]","[9156, 13464]",True,[],[],
2i,49,"((9796, (136,)), (8868, (136,)))",[34722],[34722],True,[],[],
2i,50,"((11016, (121,)), (5767, (10,)))",[11211],[11211],True,[],[],
2i,51,"((11295, (72,)), (12836, (40,)))",[42794],[42794],True,[],[],
2i,52,"((2874, (62,)), (6723, (62,)))",[19864],[19864],True,[],[],
2i,53,"((10693, (175,)), (8629, (175,)))","[19414, 58315]","[19414, 58315]",True,[],[],
2i,54,"((6115, (794,)), (1935, (88,)))","[17061, 17819, 18791, 38098]","[17061, 17819, 18791, 38098]",True,[],[],
2i,55,"((13562, (727,)), (18495, (688,)))",[18496],[18496],True,[],[],
2i,56,"((2870, (1225,)), (4523, (202,)))",[2515],[2515],True,[],[],
2i,57,"((898, (2182,)), (104, (2489,)))",[21051],[21051],True,[],[],
2i,58,"((843, (27,)), (30, (866,)))",[18709],[18709],True,[],[],
2i,59,"((5267, (461,)), (5026, (461,)))",[27227],[27227],True,[],[],
2i,60,"((5023, (708,)), (20676, (288,)))",[1072],[1072],True,[],[],
2i,61,"((5859, (99,)), (2672, (99,)))","[37401, 37435, 37521]","[37401, 37435, 37521]",True,[],[],
2i,62,"((15114, (454,)), (15114, (306,)))",[61038],[61038],True,[],[],
2i,63,"((1443, (25,)), (283, (25,)))","[27385, 60098]","[27385, 60098]",True,[],[],
2i,64,"((3506, (35,)), (3872, (35,)))",[36139],[36139],True,[],[],
2i,65,"((1756, (654,)), (4967, (654,)))",[58224],[58224],True,[],[],
2i,66,"((1514, (46,)), (2557, (46,)))","[8548, 56560]","[8548, 56560]",True,[],[],
2i,67,"((2281, (3,)), (5722, (3,)))",[14998],[14998],True,[],[],
2i,68,"((4613, (1266,)), (1870, (974,)))","[21075, 26272, 27163, 43383, 43690, 44397, 53012, 63289]","[21075, 26272, 27163, 43383, 43690, 44397, 53012, 63289]",True,[],[],
2i,69,"((2928, (9610,)), (4284, (6900,)))",[78032],[78032],True,[],[],
2i,70,"((20619, (243,)), (10527, (6874,)))",[32067],[32067],True,[],[],
2i,71,"((4305, (107,)), (6075, (348,)))",[26709],[26709],True,[],[],
2i,72,"((3055, (225,)), (10327, (225,)))",[8609],[8609],True,[],[],
2i,73,"((24413, (2106,)), (7343, (838,)))",[3452],[3452],True,[],[],
2i,74,"((5638, (284,)), (1639, (88,)))",[12630],[12630],True,[],[],
2i,75,"((3281, (813,)), (17858, (974,)))",[36936],[36936],True,[],[],
2i,76,"((11739, (210,)), (8549, (210,)))",[17927],[17927],True,[],[],
2i,77,"((2253, (7952,)), (218, (3798,)))",[51649],[51649],True,[],[],
2i,78,"((8596, (432,)), (4967, (654,)))",[35405],[35405],True,[],[],
2i,79,"((3372, (735,)), (8810, (265,)))",[33859],[33859],True,[],[],
2i,80,"((1373, (49,)), (3971, (735,)))",[15313],[15313],True,[],[],
2i,81,"((193, (6157,)), (17029, (638,)))",[14740],[14740],True,[],[],
2i,82,"((3985, (51,)), (6286, (3102,)))",[72716],[72716],True,[],[],
2i,83,"((973, (368,)), (1592, (43,)))",[18930],[18930],True,[],[],
2i,84,"((16802, (84,)), (7254, (84,)))",[32549],[32549],True,[],[],
2i,85,"((1546, (29,)), (10, (3,)))",[36923],[36923],True,[],[],
2i,86,"((7254, (2344,)), (2219, (2344,)))",[12580],[12580],True,[],[],
2i,87,"((9111, (1254,)), (12997, (137,)))","[420, 38165]","[420, 38165]",True,[],[],
2i,88,"((1152, (1634,)), (8960, (1634,)))",[27221],[27221],True,[],[],
2i,89,"((9739, (14,)), (3749, (91,)))",[14714],[14714],True,[],[],
2i,90,"((10476, (211,)), (38716, (831,)))",[38717],[38717],True,[],[],
2i,91,"((4764, (1374,)), (3409, (27,)))",[50011],[50011],True,[],[],
2i,92,"((28234, (610,)), (6552, (610,)))",[17801],[17801],True,[],[],
2i,93,"((10148, (2060,)), (3001, (190,)))",[10894],[10894],True,[],[],
2i,94,"((8761, (3,)), (14552, (506,)))",[57887],[57887],True,[],[],
2i,95,"((14395, (659,)), (8947, (249,)))",[36045],[36045],True,[],[],
2i,96,"((3118, (211,)), (10142, (45,)))","[15280, 24017, 36241]","[15280, 24017, 36241]",True,[],[],
2i,97,"((6261, (139,)), (6264, (59,)))",[2149],[2149],True,[],[],
2i,98,"((2550, (112,)), (8578, (112,)))",[35256],[35256],True,[],[],
2i,99,"((2389, (79,)), (8155, (97,)))",[26911],[26911],True,[],[],
2i,100,"((4324, (537,)), (1627, (537,)))","[11370, 24396, 45981]","[11370, 24396, 45981]",True,[],[],
2i,101,"((2473, (3339,)), (2473, (349,)))",[53265],[53265],True,[],[],
2i,102,"((19441, (102,)), (12586, (102,)))","[7543, 9795, 12587]","[7543, 9795, 12587]",True,[],[],
2i,103,"((2448, (95,)), (14717, (95,)))",[49657],[49657],True,[],[],
2i,104,"((15677, (6137,)), (15677, (5482,)))",[57604],[57604],True,[],[],
2i,105,"((11800, (162,)), (887, (162,)))",[61232],[61232],True,[],[],
2i,106,"((20133, (695,)), (1694, (95,)))",[29463],[29463],True,[],[],
2i,107,"((19503, (21,)), (7738, (21,)))","[7739, 11103, 37242, 40221, 40718]","[7739, 11103, 37242, 40221, 40718]",True,[],[],
2i,108,"((5337, (550,)), (1290, (550,)))",[31289],[31289],True,[],[],
2i,109,"((11027, (293,)), (16769, (216,)))",[18577],[18577],True,[],[],
2i,110,"((5791, (0,)), (11146, (0,)))","[6814, 11667]","[6814, 11667]",True,[],[],
2i,111,"((24527, (2690,)), (6687, (2690,)))",[14868],[14868],True,[],[],
2i,112,"((2160, (543,)), (1805, (543,)))","[1845, 8007]","[1845, 8007]",True,[],[],
2i,113,"((2323, (190,)), (2323, (379,)))",[25705],[25705],True,[],[],
2i,114,"((183, (88,)), (1300, (459,)))",[3962],[3962],True,[],[],
2i,115,"((16938, (829,)), (8471, (829,)))",[72493],[72493],True,[],[],
2i,116,"((4521, (547,)), (1558, (1608,)))",[39623],[39623],True,[],[],
2i,117,"((5337, (907,)), (2462, (907,)))",[53733],[53733],True,[],[],
2i,118,"((3226, (164,)), (3774, (1298,)))","[2828, 6276, 8907]","[2828, 6276, 8907]",True,[],[],
2i,119,"((2434, (3823,)), (14090, (76,)))",[19921],[19921],True,[],[],
2i,120,"((37346, (103,)), (6905, (103,)))",[16151],[16151],True,[],[],
2i,121,"((12518, (383,)), (11545, (383,)))",[29516],[29516],True,[],[],
2i,122,"((3069, (53,)), (815, (243,)))",[43658],[43658],True,[],[],
2i,123,"((30957, (261,)), (341, (261,)))",[5240],[5240],True,[],[],
2i,124,"((1320, (732,)), (8816, (794,)))",[34648],[34648],True,[],[],
2i,125,"((1586, (483,)), (7009, (1431,)))",[26416],[26416],True,[],[],
2i,126,"((3920, (1177,)), (2607, (114,)))",[19531],[19531],True,[],[],
2i,127,"((2038, (2636,)), (3476, (638,)))",[38111],[38111],True,[],[],
2i,128,"((617, (233,)), (17648, (158,)))",[24035],[24035],True,[],[],
2i,129,"((11858, (326,)), (11858, (1833,)))","[52547, 54047]","[52547, 54047]",True,[],[],
2i,130,"((6422, (45,)), (5913, (441,)))",[27165],[27165],True,[],[],
2i,131,"((7849, (695,)), (4327, (1086,)))",[6171],[6171],True,[],[],
2i,132,"((5197, (131,)), (14009, (131,)))","[13146, 43541, 45784, 50788, 56288, 71791]","[13146, 43541, 45784, 50788, 56288, 71791]",True,[],[],
2i,133,"((9016, (288,)), (1575, (288,)))",[33105],[33105],True,[],[],
2i,134,"((6853, (1370,)), (924, (491,)))",[46628],[46628],True,[],[],
2i,135,"((1303, (43,)), (5890, (62,)))",[20832],[20832],True,[],[],
2i,136,"((11580, (592,)), (1821, (72,)))",[36724],[36724],True,[],[],
2i,137,"((7498, (183,)), (12025, (592,)))",[42617],[42617],True,[],[],
2i,138,"((5669, (515,)), (9971, (25,)))",[23218],[23218],True,[],[],
2i,139,"((9973, (206,)), (15048, (206,)))",[31384],[31384],True,[],[],
2i,140,"((2572, (189,)), (5922, (189,)))",[71796],[71796],True,[],[],
2i,141,"((10850, (58,)), (10456, (58,)))",[12156],[12156],True,[],[],
2i,142,"((11565, (403,)), (10196, (491,)))",[22007],[22007],True,[],[],
2i,143,"((6068, (400,)), (3222, (2733,)))",[8959],[8959],True,[],[],
2i,144,"((10962, (122,)), (10962, (139,)))",[61015],[61015],True,[],[],
2i,145,"((6541, (468,)), (2607, (409,)))",[50376],[50376],True,[],[],
2i,146,"((742, (921,)), (4332, (550,)))",[46228],[46228],True,[],[],
2i,147,"((7404, (3,)), (8700, (3,)))",[28015],[28015],True,[],[],
2i,148,"((22611, (583,)), (2199, (606,)))",[82268],[82268],True,[],[],
2i,149,"((20052, (6499,)), (64, (179,)))",[71183],[71183],True,[],[],
2i,150,"((25197, (521,)), (9358, (9418,)))",[72860],[72860],True,[],[],
2u,1,"((7662, (183,)), (34433, (2027,)), ('u',))","[5236, 7141, 15246, 20733, 21571, 25987, 30896, 34545, 37335, 49459, 63905, 65636, 69225]","[5236, 7141, 15246, 20733, 21571, 25987, 30896, 34545, 37335, 49459, 63905, 65636, 69225]",True,[],[],
2u,2,"((6075, (9223,)), (1708, (2911,)), ('u',))",[5171],[5171],True,[],[],
2u,3,"((6638, (515,)), (1751, (45,)), ('u',))","[2433, 17288, 18067, 25147, 31354, 65376]","[2433, 17288, 18067, 25147, 31354, 65376]",True,[],[],
2u,4,"((17065, (3540,)), (14618, (191,)), ('u',))","[2773, 4336, 14619, 27414, 35170, 50290]","[2773, 4336, 14619, 27414, 35170, 50290]",True,[],[],
2u,5,"((4873, (2,)), (8300, (1557,)), ('u',))",[34489],[34489],True,[],[],
2u,6,"((10624, (1873,)), (8108, (1873,)), ('u',))","[32419, 57979]","[32419, 57979]",True,[],[],
2u,7,"((2723, (99,)), (6855, (99,)), ('u',))","[2724, 2885, 3221, 30671]","[2724, 2885, 3221, 30671]",True,[],[],
2u,8,"((10025, (234,)), (6075, (8807,)), ('u',))",[5171],[5171],True,[],[],
2u,9,"((34433, (408,)), (22126, (183,)), ('u',))","[2800, 4524, 4816, 8900, 12190, 25685, 35286, 38193, 53578, 55985, 63072, 64836, 66474, 68331, 77529]","[2800, 4524, 4816, 8900, 12190, 25685, 35286, 38193, 53578, 55985, 63072, 64836, 66474, 68331, 77529]",True,[],[],
2u,10,"((3120, (141,)), (12836, (36,)), ('u',))",[46664],[46664],True,[],[],
2u,11,"((24562, (592,)), (259, (1431,)), ('u',))","[22868, 36965]","[22868, 36965]",True,[],[],
2u,12,"((5887, (210,)), (4785, (210,)), ('u',))",[13166],[13166],True,[],[],
2u,13,"((920, (2518,)), (1983, (190,)), ('u',))","[1028, 2331, 3400, 12015]","[1028, 2331, 3400, 12015]",True,[],[],
2u,14,"((5086, (58,)), (1389, (252,)), ('u',))",[21461],[21461],True,[],[],
2u,15,"((7967, (419,)), (5213, (457,)), ('u',))",[15539],[15539],True,[],[],
2u,16,"((5706, (112,)), (5706, (3261,)), ('u',))",[11224],[11224],True,[],[],
2u,17,"((2495, (3151,)), (4650, (4365,)), ('u',))",[17933],[17933],True,[],[],
2u,18,"((12382, (141,)), (5821, (36,)), ('u',))",[25447],[25447],True,[],[],
2u,19,"((11171, (14,)), (4139, (8,)), ('u',))","[4678, 12065, 12682, 15187, 16592, 18074, 22056, 26483, 29589, 36653, 42465, 51323, 54550, 65998]","[4678, 12065, 12682, 15187, 16592, 18074, 22056, 26483, 29589, 36653, 42465, 51323, 54550, 65998]",True,[],[],
2u,20,"((9902, (1012,)), (1619, (1467,)), ('u',))","[2276, 2278, 7025, 8303, 18048, 18729, 75257]","[2276, 2278, 7025, 8303, 18048, 18729, 75257]",True,[],[],
2u,21,"((29232, (59,)), (29232, (122,)), ('u',))",[5206],[5206],True,[],[],
2u,22,"((2924, (244,)), (2995, (572,)), ('u',))","[89, 405, 858, 1450, 2011, 2635, 2828, 3536, 7197, 8466, 8634, 8907, 9063, 18276, 19447, 54127]","[89, 405, 858, 1450, 2011, 2635, 2828, 3536, 7197, 8466, 8634, 8907, 9063, 18276, 19447, 54127]",True,[],[],
2u,23,"((10725, (301,)), (10599, (301,)), ('u',))","[10600, 25289, 27947, 28412, 49162]","[10600, 25289, 27947, 28412, 49162]",True,[],[],
2u,24,"((17291, (51,)), (4295, (924,)), ('u',))",[27951],[27951],True,[],[],
2u,25,"((1860, (572,)), (9723, (244,)), ('u',))","[645, 654, 834, 858, 919, 1279, 2086, 3024, 3945, 4861, 5611, 5717, 6032, 6276, 7579, 7697, 8140, 8634, 9063, 10028, 10434, 11342, 11806, 11830, 12375, 14296, 14416, 16901, 17488, 20960, 25437, 31336, 41211, 61710, 80937, 81726]","[645, 654, 834, 858, 919, 1279, 2086, 3024, 3945, 4861, 5611, 5717, 6032, 6276, 7579, 7697, 8140, 8634, 9063, 10028, 10434, 11342, 11806, 11830, 12375, 14296, 14416, 16901, 17488, 20960, 25437, 31336, 41211, 61710, 80937, 81726]",True,[],[],
2u,26,"((19799, (76,)), (8217, (377,)), ('u',))","[23054, 39928, 45080]","[23054, 39928, 45080]",True,[],[],
2u,27,"((8361, (46,)), (8361, (0,)), ('u',))",[8362],[8362],True,[],[],
2u,28,"((7194, (3208,)), (10517, (102,)), ('u',))","[4862, 12614, 24550, 28345, 29589, 40009, 43198, 67096, 69462, 79645]","[4862, 12614, 24550, 28345, 29589, 40009, 43198, 67096, 69462, 79645]",True,[],[],
2u,29,"((15732, (5006,)), (2355, (491,)), ('u',))","[21351, 60982]","[21351, 60982]",True,[],[],
2u,30,"((1198, (6098,)), (21188, (6098,)), ('u',))",[42582],[42582],True,[],[],
2u,31,"((9389, (7994,)), (78, (204,)), ('u',))","[1346, 62844]","[1346, 62844]",True,[],[],
2u,32,"((6450, (4841,)), (6450, (6968,)), ('u',))","[31311, 50795, 58148]","[31311, 50795, 58148]",True,[],[],
2u,33,"((10751, (1304,)), (1726, (125,)), ('u',))",[64660],[64660],True,[],[],
2u,34,"((934, (898,)), (7148, (594,)), ('u',))",[5285],[5285],True,[],[],
2u,35,"((5730, (139,)), (3967, (139,)), ('u',))","[1905, 11389, 34499]","[1905, 11389, 34499]",True,[],[],
2u,36,"((1814, (6502,)), (6518, (252,)), ('u',))",[34509],[34509],True,[],[],
2u,37,"((1215, (41,)), (1215, (3,)), ('u',))",[41447],[41447],True,[],[],
2u,38,"((4729, (893,)), (12271, (102,)), ('u',))","[15312, 15494, 18473, 31279, 32247, 35185, 39502, 72930]","[15312, 15494, 18473, 31279, 32247, 35185, 39502, 72930]",True,[],[],
2u,39,"((1131, (276,)), (6034, (276,)), ('u',))",[39740],[39740],True,[],[],
2u,40,"((4925, (267,)), (10497, (3,)), ('u',))",[20565],[20565],True,[],[],
2u,41,"((11259, (153,)), (3419, (153,)), ('u',))","[10677, 15672, 20127, 30335, 34670, 36377, 55934, 61315]","[10677, 15672, 20127, 30335, 34670, 36377, 55934, 61315]",True,[],[],
2u,42,"((139, (112,)), (6029, (1558,)), ('u',))",[18730],[18730],True,[],[],
2u,43,"((25061, (6834,)), (5454, (16,)), ('u',))",[27290],[27290],True,[],[],
2u,44,"((2431, (260,)), (1412, (4959,)), ('u',))",[32246],[32246],True,[],[],
2u,45,"((386, (376,)), (3458, (760,)), ('u',))","[2672, 6403, 10342, 20834, 41300, 64322, 74345, 77816]","[2672, 6403, 10342, 20834, 41300, 64322, 74345, 77816]",True,[],[],
2u,46,"((1968, (35,)), (6231, (35,)), ('u',))","[6232, 54391]","[6232, 54391]",True,[],[],
2u,47,"((433, (6,)), (19489, (401,)), ('u',))",[9818],[9818],True,[],[],
2u,48,"((3419, (153,)), (1217, (153,)), ('u',))","[10677, 15672, 20127, 30335, 34670, 36377, 55934, 61315]","[10677, 15672, 20127, 30335, 34670, 36377, 55934, 61315]",True,[],[],
2u,49,"((2339, (339,)), (26, (339,)), ('u',))",[2340],[2340],True,[],[],
2u,50,"((12696, (178,)), (2690, (178,)), ('u',))",[2691],[2691],True,[],[],
2u,51,"((7352, (31,)), (2578, (31,)), ('u',))",[46617],[46617],True,[],[],
2u,52,"((10444, (47,)), (10444, (337,)), ('u',))",[72580],[72580],True,[],[],
2u,53,"((482, (1615,)), (3481, (102,)), ('u',))","[8006, 11000, 12614, 14059, 27830, 30966, 40929, 44971, 77856]","[8006, 11000, 12614, 14059, 27830, 30966, 40929, 44971, 77856]",True,[],[],
2u,54,"((15048, (4416,)), (11452, (267,)), ('u',))","[12479, 20950, 39883, 51155, 61096]","[12479, 20950, 39883, 51155, 61096]",True,[],[],
2u,55,"((37346, (103,)), (6905, (103,)), ('u',))",[16151],[16151],True,[],[],
2u,56,"((2676, (3540,)), (6126, (1353,)), ('u',))","[6065, 12694, 19182, 29627, 40999, 41603, 55484]","[6065, 12694, 19182, 29627, 40999, 41603, 55484]",True,[],[],
2u,57,"((4109, (3661,)), (4109, (156,)), ('u',))",[5418],[5418],True,[],[],
2u,58,"((6184, (0,)), (5560, (0,)), ('u',))","[6814, 11667]","[6814, 11667]",True,[],[],
2u,59,"((3279, (1069,)), (9322, (1069,)), ('u',))","[33604, 54517, 59417, 83360]","[33604, 54517, 59417, 83360]",True,[],[],
2u,60,"((230, (101,)), (5768, (183,)), ('u',))","[231, 10996, 17312, 26733, 34556, 35694, 39072, 47245, 48503, 53701, 55704, 64129, 65166, 84789]","[231, 10996, 17312, 26733, 34556, 35694, 39072, 47245, 48503, 53701, 55704, 64129, 65166, 84789]",True,[],[],
2u,61,"((9757, (202,)), (9757, (226,)), ('u',))",[39194],[39194],True,[],[],
2u,62,"((337, (143,)), (10274, (62,)), ('u',))",[338],[338],True,[],[],
2u,63,"((2959, (191,)), (17967, (191,)), ('u',))","[23690, 24882, 56488]","[23690, 24882, 56488]",True,[],[],
2u,64,"((528, (205,)), (4698, (7127,)), ('u',))",[529],[529],True,[],[],
2u,65,"((2647, (389,)), (7864, (144,)), ('u',))",[5977],[5977],True,[],[],
